GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US02170000502,02170000502,"Census Tract 5.02, Matanuska-Susitna Borough, Alaska",2153,270
1400000US02170000601,02170000601,"Census Tract 6.01, Matanuska-Susitna Borough, Alaska",4819,391
1400000US02170000603,02170000603,"Census Tract 6.03, Matanuska-Susitna Borough, Alaska",6601,657
1400000US02170000604,02170000604,"Census Tract 6.04, Matanuska-Susitna Borough, Alaska",4519,518
1400000US02170000701,02170000701,"Census Tract 7.01, Matanuska-Susitna Borough, Alaska",3022,436
1400000US02170000703,02170000703,"Census Tract 7.03, Matanuska-Susitna Borough, Alaska",3581,355
1400000US02170000705,02170000705,"Census Tract 7.05, Matanuska-Susitna Borough, Alaska",4048,309
1400000US02170000706,02170000706,"Census Tract 7.06, Matanuska-Susitna Borough, Alaska",5892,533
1400000US02170000800,02170000800,"Census Tract 8, Matanuska-Susitna Borough, Alaska",5026,292
1400000US02170000900,02170000900,"Census Tract 9, Matanuska-Susitna Borough, Alaska",2789,262
1400000US02170001001,02170001001,"Census Tract 10.01, Matanuska-Susitna Borough, Alaska",3627,379
1400000US02170001003,02170001003,"Census Tract 10.03, Matanuska-Susitna Borough, Alaska",3551,225
1400000US02170001004,02170001004,"Census Tract 10.04, Matanuska-Susitna Borough, Alaska",5340,373
1400000US02170001100,02170001100,"Census Tract 11, Matanuska-Susitna Borough, Alaska",5412,293
1400000US02170001201,02170001201,"Census Tract 12.01, Matanuska-Susitna Borough, Alaska",5149,216
1400000US02170001202,02170001202,"Census Tract 12.02, Matanuska-Susitna Borough, Alaska",5391,230
1400000US02170001300,02170001300,"Census Tract 13, Matanuska-Susitna Borough, Alaska",5863,339
1400000US02180000100,02180000100,"Census Tract 1, Nome Census Area, Alaska",5895,71
1400000US02180000200,02180000200,"Census Tract 2, Nome Census Area, Alaska",3897,71
1400000US02185000100,02185000100,"Census Tract 1, North Slope Borough, Alaska",4321,127
1400000US02185000200,02185000200,"Census Tract 2, North Slope Borough, Alaska",2412,485
1400000US02185000300,02185000300,"Census Tract 3, North Slope Borough, Alaska",2885,467
1400000US02188000100,02188000100,"Census Tract 1, Northwest Arctic Borough, Alaska",4399,29
1400000US02188000200,02188000200,"Census Tract 2, Northwest Arctic Borough, Alaska",3273,29
1400000US02195000200,02195000200,"Census Tract 2, Petersburg Borough, Alaska",3212,*****
1400000US02198000100,02198000100,"Census Tract 1, Prince of Wales-Hyder Census Area, Alaska",2243,175
1400000US02198000200,02198000200,"Census Tract 2, Prince of Wales-Hyder Census Area, Alaska",2479,161
1400000US02198000300,02198000300,"Census Tract 3, Prince of Wales-Hyder Census Area, Alaska",12,11
1400000US02198940100,02198940100,"Census Tract 9401, Prince of Wales-Hyder Census Area, Alaska",1622,119
1400000US02220000100,02220000100,"Census Tract 1, Sitka City and Borough, Alaska",3660,307
1400000US02220000200,02220000200,"Census Tract 2, Sitka City and Borough, Alaska",5297,307
1400000US02230000100,02230000100,"Census Tract 1, Skagway Municipality, Alaska",996,140
1400000US02240000100,02240000100,"Census Tract 1, Southeast Fairbanks Census Area, Alaska",2183,204
1400000US02240000400,02240000400,"Census Tract 4, Southeast Fairbanks Census Area, Alaska",4861,204
1400000US02261000100,02261000100,"Census Tract 1, Valdez-Cordova Census Area, Alaska",2636,273
1400000US02261000200,02261000200,"Census Tract 2, Valdez-Cordova Census Area, Alaska",2645,322
1400000US02261000300,02261000300,"Census Tract 3, Valdez-Cordova Census Area, Alaska",4404,106
1400000US02270000100,02270000100,"Census Tract 1, Wade Hampton Census Area, Alaska",7778,*****
1400000US02275000300,02275000300,"Census Tract 3, Wrangell City and Borough, Alaska",2383,*****
1400000US02282000100,02282000100,"Census Tract 1, Yakutat City and Borough, Alaska",635,83
1400000US02290000100,02290000100,"Census Tract 1, Yukon-Koyukuk Census Area, Alaska",1195,99
1400000US02290000200,02290000200,"Census Tract 2, Yukon-Koyukuk Census Area, Alaska",1549,117
1400000US02290000300,02290000300,"Census Tract 3, Yukon-Koyukuk Census Area, Alaska",1904,94
1400000US02290000400,02290000400,"Census Tract 4, Yukon-Koyukuk Census Area, Alaska",1003,83
